,publication_year,stemmed_tokens,NoD,NoS,NoUS,t10 stemmed_tokens,t50 stemmed_tokens,t100 stemmed_tokens,t500 stemmed_tokens,NoUS (t1%),t1% of stemmed_tokens,NoUS (t10%),t10% of stemmed_tokens,NoUS (t20%),t20% of stemmed_tokens,NoUS (t25%),t25% of stemmed_tokens
36,1915,NA,1,23,8,"[[('refract', 6), ('gase', 5), ('mean', 3), ('sever', 3), ('ideal', 2), ('characterist', 2), ('state', 1), ('equat', 1)]]","[[('refract', 6), ('gase', 5), ('mean', 3), ('sever', 3), ('ideal', 2), ('characterist', 2), ('state', 1), ('equat', 1)]]","[[('refract', 6), ('gase', 5), ('mean', 3), ('sever', 3), ('ideal', 2), ('characterist', 2), ('state', 1), ('equat', 1)]]","[[('refract', 6), ('gase', 5), ('mean', 3), ('sever', 3), ('ideal', 2), ('characterist', 2), ('state', 1), ('equat', 1)]]",0,,1,"[[('refract', 6)]]",2,"[[('refract', 6), ('gase', 5)]]",2,"[[('refract', 6), ('gase', 5)]]"
37,1916,NA,,,,,,,,,,,,,,,
38,1917,NA,,,,,,,,,,,,,,,
39,1918,NA,,,,,,,,,,,,,,,
40,1919,NA,,,,,,,,,,,,,,,
41,1920,NA,1,18,9,"[[('chromospher', 5), ('solar', 3), ('ionize', 2), ('spectrum', 2), ('level', 2), ('present', 1), ('paper', 1), ('discuss', 1), ('high', 1)]]","[[('chromospher', 5), ('solar', 3), ('ionize', 2), ('spectrum', 2), ('level', 2), ('present', 1), ('paper', 1), ('discuss', 1), ('high', 1)]]","[[('chromospher', 5), ('solar', 3), ('ionize', 2), ('spectrum', 2), ('level', 2), ('present', 1), ('paper', 1), ('discuss', 1), ('high', 1)]]","[[('chromospher', 5), ('solar', 3), ('ionize', 2), ('spectrum', 2), ('level', 2), ('present', 1), ('paper', 1), ('discuss', 1), ('high', 1)]]",0,,1,"[[('chromospher', 5)]]",2,"[[('chromospher', 5), ('solar', 3)]]",2,"[[('chromospher', 5), ('solar', 3)]]"
42,1921,NA,1,21,15,"[[('gold', 3), ('atom', 2), ('relat', 2), ('work', 2), ('group', 2), ('remov', 1), ('sever', 1), ('differ', 1), ('phenomenon', 1), ('region', 1)]]","[[('gold', 3), ('atom', 2), ('relat', 2), ('work', 2), ('group', 2), ('remov', 1), ('sever', 1), ('differ', 1), ('phenomenon', 1), ('region', 1), ('electron', 1), ('energi', 1), ('metal', 1), ('lead', 1), ('general', 1)]]","[[('gold', 3), ('atom', 2), ('relat', 2), ('work', 2), ('group', 2), ('remov', 1), ('sever', 1), ('differ', 1), ('phenomenon', 1), ('region', 1), ('electron', 1), ('energi', 1), ('metal', 1), ('lead', 1), ('general', 1)]]","[[('gold', 3), ('atom', 2), ('relat', 2), ('work', 2), ('group', 2), ('remov', 1), ('sever', 1), ('differ', 1), ('phenomenon', 1), ('region', 1), ('electron', 1), ('energi', 1), ('metal', 1), ('lead', 1), ('general', 1)]]",0,,2,"[[('gold', 3), ('atom', 2)]]",3,"[[('gold', 3), ('atom', 2), ('relat', 2)]]",4,"[[('gold', 3), ('atom', 2), ('relat', 2), ('work', 2)]]"
43,1922,NA,2,33,14,"[[('gase', 5), ('abhngig', 5), ('vorhandenen', 4), ('electron', 3), ('bruchteil', 3), ('motion', 2), ('argon', 2), ('natur', 2), ('chemischen', 2), ('dicht', 1)]]","[[('gase', 5), ('abhngig', 5), ('vorhandenen', 4), ('electron', 3), ('bruchteil', 3), ('motion', 2), ('argon', 2), ('natur', 2), ('chemischen', 2), ('dicht', 1), ('aller', 1), ('der', 1), ('mechanisch', 1), ('vorgng', 1)]]","[[('gase', 5), ('abhngig', 5), ('vorhandenen', 4), ('electron', 3), ('bruchteil', 3), ('motion', 2), ('argon', 2), ('natur', 2), ('chemischen', 2), ('dicht', 1), ('aller', 1), ('der', 1), ('mechanisch', 1), ('vorgng', 1)]]","[[('gase', 5), ('abhngig', 5), ('vorhandenen', 4), ('electron', 3), ('bruchteil', 3), ('motion', 2), ('argon', 2), ('natur', 2), ('chemischen', 2), ('dicht', 1), ('aller', 1), ('der', 1), ('mechanisch', 1), ('vorgng', 1)]]",0,,1,"[[('gase', 5)]]",3,"[[('gase', 5), ('abhngig', 5), ('vorhandenen', 4)]]",4,"[[('gase', 5), ('abhngig', 5), ('vorhandenen', 4), ('electron', 3)]]"
44,1923,NA,1,23,11,"[[('continu', 4), ('previous', 4), ('work', 3), ('rayschara', 2), ('field', 2), ('absorpt', 2), ('limit', 2), ('magnet', 1), ('chang', 1), ('accuraci', 1)]]","[[('continu', 4), ('previous', 4), ('work', 3), ('rayschara', 2), ('field', 2), ('absorpt', 2), ('limit', 2), ('magnet', 1), ('chang', 1), ('accuraci', 1), ('smaller', 1)]]","[[('continu', 4), ('previous', 4), ('work', 3), ('rayschara', 2), ('field', 2), ('absorpt', 2), ('limit', 2), ('magnet', 1), ('chang', 1), ('accuraci', 1), ('smaller', 1)]]","[[('continu', 4), ('previous', 4), ('work', 3), ('rayschara', 2), ('field', 2), ('absorpt', 2), ('limit', 2), ('magnet', 1), ('chang', 1), ('accuraci', 1), ('smaller', 1)]]",0,,1,"[[('continu', 4)]]",2,"[[('continu', 4), ('previous', 4)]]",3,"[[('continu', 4), ('previous', 4), ('work', 3)]]"
45,1924,NA,1,21,11,"[[('differ', 3), ('sourc', 3), ('structur', 3), ('support', 3), ('nuclear', 2), ('atom', 2), ('strong', 1), ('new', 1), ('hypothesi', 1), ('scatter', 1)]]","[[('differ', 3), ('sourc', 3), ('structur', 3), ('support', 3), ('nuclear', 2), ('atom', 2), ('strong', 1), ('new', 1), ('hypothesi', 1), ('scatter', 1), ('evid', 1)]]","[[('differ', 3), ('sourc', 3), ('structur', 3), ('support', 3), ('nuclear', 2), ('atom', 2), ('strong', 1), ('new', 1), ('hypothesi', 1), ('scatter', 1), ('evid', 1)]]","[[('differ', 3), ('sourc', 3), ('structur', 3), ('support', 3), ('nuclear', 2), ('atom', 2), ('strong', 1), ('new', 1), ('hypothesi', 1), ('scatter', 1), ('evid', 1)]]",0,,1,"[[('differ', 3)]]",2,"[[('differ', 3), ('sourc', 3)]]",3,"[[('differ', 3), ('sourc', 3), ('structur', 3)]]"
